epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.33165,0.38933,0.98517,1,0.04106,0.000546847,0.000546847,0.000546847
2,5.91401,0.08161,0.99876,1,0.00838,0.000884216,0.000884216,0.000884216
3,8.08932,0.07759,1,1,0.00324,0.00100154,0.00100154,0.00100154
4,10.256,0.03769,0.99876,1,0.00313,0.000676802,0.000676802,0.000676802
5,12.4292,0.03164,1,1,0.00118,0.000346736,0.000346736,0.000346736
